length,e_m,time,total configs,min energy configs
2,0.0,0.589046 ms,2,2
3,-1.0,0.678295 ms,4,4
4,-1.0,1.187909 ms,16,8
5,-2.0,3.792204 ms,44,8
6,-2.2928932188134525,19.161833 ms,184,8
7,-3.585786437626905,55.375644 ms,552,8
8,-3.4560299256299833,205.146742 ms,2544,8
9,-4.326273413633061,851.475715 ms,8040,16
10,-4.869863326310332,3.028185 s,38976,8
11,-5.806487042259883,10.306812 s,127016,8
12,-5.869483164617584,44.738404 s,635400,8
13,-6.948951265470212,2 min 56 s,2112320,8
14,-7.146293723731498,13 min 5 s,10817428,8
